Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,,Pm-dsg (%),SNR (dB)
1,10 MHz,2 ECCE,R.57 FDD,OP.7 FDD,EVA5,2 x 4 Low,1,6.5
2,10 MHZ,8 ECCE,R.58 FDD,OP.7 FDD,EVA5,2 x 4 Low,1,-1.5
