Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions,,Correlation Matrix and Antenna Configuration (Note 3),Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 1,Cell 2,,Fraction of Maximum Throughput (%),SINR (dB) (Note 2),
1,R.48 FDD,OP.1 FDD,N/A,EVA5,EVA5,4x2 Low,70,-1.1,≥1
Note 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.Note 2:SINR corresponds to  of Cell 1 as defined in clause 8.1.1.Note 3:Correlation matrix and antenna configuration parameters apply for each of Cell 1 and Cell 2.,,,,,,,,,
