Test Number,Timing offset(us),Reference Channel,OCNG Pattern,,Propagation Conditions,,Correlation Matrix and Antenna Configuration (Note 2),Reference Value,,UE Category
,,,TP 1,TP 2,TP 1,TP 2,,Fraction of Maximum Throughput (%),SNR (dB) (Note 3),
1,2,R.53 FDD,OP.1 FDD,OP.1 FDD,EPA5,EPA5,2x2 Low,70,12.2,≥2
2,-0.5,R.53 FDD,OP.1 FDD,OP.1 FDD,EPA5,EPA5,2x2 Low,70,12.5,≥2
,,,,,,,,,,
Note 1:The propagation conditions for TP 1and TP 2 are statistically independent.Note 2:Correlation matrix and antenna configuration parameters apply for each of TP 1 and TP 2.Note 3:SNR corresponds to  of both TP 1 and TP 2 as defined in clause 8.1.1.,,,,,,,,,,
