Test num.,CA Band-width combination,Requirement,UE category
,,,
1,3x20MHz,As specified in Table 8.2.2.3.1-5 per CC,≥5
2,20MHz+20MHz+15MHz,As specified in Table 8.2.2.3.1-5 per CC,≥5
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3,,,
