Test number,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,Pm-dsg (%),SNR (dB)
1,2 ECCE,R.59 TDD,OP.7 TDD,EVA5,2 x 2 Low,1,13.6
2,2 ECCE,R.59 TDD,OP.7 TDD,EVA5,2 x 2 Low,1,13.6
