Parameter,Test 1,Test 1a
,1.1,[1.1]
UE Category,≥2,≥2
"Note1:For UE that indicates support of density reduction for Class B, test 1a will be run and test 1 will be skipped. Otherwise, test 1 will be run and test 1a will be skipped.",,
