Test num,Bandwidth,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE category
,,,,,,Fraction of maximumThroughput (%),SNR (dB),
1,10 MHz,R.11 FDD,OP.1 FDD,EVA70,2x2 Medium,70,17.8,≥2
