Test num.,CA Band-width combination,Requirement,UE category
1,4x20MHz,As specified in Table 8.13.2.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥8
2,20MHz+20MHz+20MHz+15MHz,As specified in Table 8.13.2.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥8
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.6.,,,
