CA config,Maximum supported Bandwidth/ Bandwidth combination (MHz),Cat. 1,Cat. 2,Cat. 3,Cat. 4,"Cat. 6,7","Cat. 9,10","Cat 11, 12",DL Cat. 15
,,,,,,,,"DL Cat. 11,12",
Single carrier,10,1,2,3A,3A,3A,3A,3A,3A
,20,-,-,3,4,6,6,6,6
