Test Number,Reference Channel,OCNG Pattern,,,Propagation Conditions,,,Correlation Matrix and Antenna Configuration (Note 3),Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,,Fraction of Maximum Throughput (%),SNR (dB) (Note 2),
1,R.70 TDD,OP.1 TDD,N/A,N/A,EPA5,EPA5,EPA5,2x2 Low,85,11.3,≥1
"Note 1:The propagation conditions for Cell 1, Cell 2 and Cell 3 are statistically independent.Note 2:SNR corresponds to  of Cell 1 as defined in clause 8.1.1.Note 3:Correlation matrix and antenna configuration parameters apply for each of Cell 1, Cell 2 and Cell 3.",,,,,,,,,,,
