CA config,Bandwidth (MHz),Category 1,Category 2,Category 3,Category 4,Category 6,Category 7
Single carrier,10,1,2,3A,3A,-,-
,15,-,-,3C,4B,-,-
,20,-,-,3,4,6,6
Note 1: The test is selected for maximum supported bandwidth.,,,,,,,
