Tests,CA capability where the tests apply,CA configuration from the selected CA capbility where the tests apply,CA Bandwidth combination to be tested in priority order
"CA tests with 3 or more CCs in Clause 8.2.1.1.1, 8.2.1.4.3, 8.7.1, 8.2.1.9.1",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported FDD CA configurations with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 3 or more CCs in Clause 8.2.1.3.1,Each supported CA capability,Any one of the supported FDD CA configurations in each CA capability with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
"CA tests with 3 or more CCs in Clause 8.2.2.1.1, 8.2.2.4.3, 8.7.2, 8.2.2.9.2",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported TDD CA configurations with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 3 or more CCs in Clause 8.2.2.3.1,Each supported CA capability,Any one of the supported TDD CA configurations in each CA capability with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 3CCs in Clause 8.2.2.8.1,CA3_C,CA_41D defined in Table 5.6A.1-1,20+20+20 MHz
"NOTE 1:The applicability and test rules are specified in this table, unless otherwise stated.NOTE 2:Number of the supported bandwidth combinations to be tested from each selected CA configuration is 1.NOTE 3:A single Uplink CC is configured for all tests",,,
