Dual connectivity Capability,Dual connectivity capability Description
DC_A_3,Inter-band dual connecitivty (three bands)
NOTE 1:DC_A_3 corresponds to E-UTRA dual connectivity configurations and bandwidth combination sets defined for inter-band dual connecitivty (three bands) as specified in 5.6C.,
