Test number,Bandwidth,Carrer Type,Reference Channel,Repetition number,Propagation condition,Number of NRS ports,Antenna Configuration,Reference value,,UE Category
,,,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,200kHz,Non-anchor,R.NB.7 FDD,1,EPA5,1,1x1,70%,9.4,NB2
