CA capability,Bandwidth combination for FDD CA,Bandwidth combination for TDD CA,Bandwidth combination for TDD-FDD CA,Bandwidth combination for CA with LAA SCell(s)
CA4_C,NA,20+20+20+20MHz,NA,NA
CA4_A2,24x20MHz10+3x20MHz2x10+2x20MHz210+5+2x20MHz2x5+2x20MHz3x10+20MHz4x10MHz,20+20+20+20MHz15+20+20+20MHz,20(FDD)+3x20(TDD)MHz2x20(FDD)+2x20(TDD)MHz10(FDD)+3x20(TDD)MHz2x10(FDD)+2x20(TDD)MHz2x10(FDD)+20+15(TDD)MHz,"10(FDD)+ 3×20(LAA)MHz,15(FDD)+ 3×20(LAA)MHz,20(FDD)+ 3×20(LAA)MHz,20(TDD)+ 3×20(LAA)MHz"
CA4_A3,24x20MHz15+3x20MHz210+3x20MHz2x10+2x20MHz5+10+2x20MHz2x5+2x20MHz3x10+20MHz25+2x10+20MHz2x5+10+20MHz,NA,"20(FDD)+3x20(TDD)MHz2×20(FDD)+2×20(TDD)MHz, 3x20(FDD)+20(TDD)MHz 20(FDD)+15(FDD)+2×20(TDD)MHz, 2×15(FDD)+2x20(TDD)MHz10(FDD)+20(FDD)+2x20(TDD)MHz10(FDD)+3x20(TDD)MHz10(FDD)+15(FDD)+2x20(TDD)MHz2x10(FDD)+2x20(TDD)MHz",NA
CA4_A4,24x20MHz15+3x20MHz210+3x20MHz2x15+2x20MHz10+15+2x20MHz22x10+2x20MHz,NA,"3x20(FDD)+20(TDD)MHz2×20(FDD)+15(FDD)+20(TDD)MHz, 2×15(FDD)+20(FDD)+20(TDD)MHz2×20(FDD)+10(FDD)+20(TDD)MHz10(FDD)+20(FDD)+2x20(TDD)MHz10(FDD)+15(FDD)+20(FDD)+20(TDD)MHz",NA
CA4_N2,NA,20+20+20+20MHz,NA,NA
NOTE 1:This table is only for information and applicability and test rules of CA performance requirements are specified in 8.1.2.3 and 9.1.1.2.,,,,
