Test number,Bandwidth and MCS,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,
,,,,,,Fraction of MaximumThroughput (%),SNR (dB)
1,10MHz16QAM 1/2,R.79 TDD,OP.2 TDD,EPA5,2x1 Low,70%,11.4
