Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions (Note 1),,Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 1,Cell 2,Fraction of Maximum Throughput (%),SNR (dB) (Note 2),
1,R.11-10 TDD,OP.1 TDD,OP.5 TDD,EVA70,EVA70,70,19.6,≥2
Note 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.Note 2:SNR corresponds to  of Cell 1.,,,,,,,,
