,Single carrier UE not supporting EPDCCH,CA UE not supporting EPDCCH,Single carrier UE supporting EPDCCH,CA UE supporting EPDCCH
FDD,8.7.1,8.7.1,8.7.3,"8.7.1, 8.7.3"
TDD,8.7.2,8.7.2,8.7.4,"8.7.2, 8.7.4"
