,Test 1,Test 2,Test 3
for Cell 1 (dB),4,20,20
for Cell 1 (dB[mW/15kHz]),-94,-78,-78
Antenna correlation,"High for Cell 1, low for Cell 2 and Cell 3","Low for Cell 1, Cell 2 and Cell 3","High for Cell 1, low for Cell 2 and Cell 3"
1,N/A,1.05,0.9
2,1.05,N/A,N/A
UE Category,≥2,≥2,≥2
