Test num.,Bandwidth,PSSCH Reference channel,Propagation condition,Reference value,,ue-CategorySL-C-RX
,,,,PSSCH BLER (%),SNR (dB) of PSSCH,
1,20 MHz,CD.11,AWGN,5,8.0,SL-C-RX Category 2
2,20 MHz,CD.15,AWGN,5,12.0,SL-C-RX Category 3
