Test number,Cell,Bandwidth (MHz),Reference Channel,OCNG Pattern,Propagationcondition,Correlation Matrix and antenna,Reference value,,MBMS UE Category
,,,,,,,Pm-bch (%),SNR(dB),
1,PCell,10,N/A,OP.1 FDD,AWGN,1x1 low,N/A,N/A,N/A
,MBMS Dedicated Cell,10,R.23-1,N/A,AWGN,1x1 low,1,-7.2,≥ 2
2,PCell,10,N/A,OP.1 FDD,AWGN,1x2 low,N/A,N/A,N/A
,MBMS Dedicated Cell,10,R.23-1,N/A,EVA 162Hz,1x2 low,1,-6.7,≥ 2
