Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE Category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,10 MHz,R.10 TDD,OP.1 TDD,EVA5,2x2 Low,70,-3.1,≥1
2,10 MHz,R.10 TDD,OP.1 TDD,EPA5,2x2 High,70,-2.8,≥1
