Band-width,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,
,,,,,Fraction of MaximumThroughput (%),SNR (dB)
1.4 MHz,R.4 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.3
3 MHz,R.42-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.1
5MHz,R.42-2 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.0
10MHz,R.2 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.7
15MHz,R.42-3 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.6
20MHz,R.42 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.7
