Dual connectivity Capability,Dual connectivity capability Description
DC_A_2,Inter-band dual connecitivty (two bands)
NOTE 1:DC_A_2 corresponds to E-UTRA dual connectivity configurations and bandwidth combination sets defined for inter-band dual connecitivty (two bands) as specified in 5.6C .,
