Parameter,Unit,Value
DMTC Periodicity,ms,80
dmtc-PeriodOffset-r12 ms80-r12,,0
Discovery signal occasion duration,subframe,1
Power allocation of discovery signal,,Same as power allocation of CRS within a transmission burst in the test
