Test num.,CA Band-width combination,Requirement,UE category
,,,
1,5x20MHz,As specified in Table 8.13.2.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,"8, ≥11"
2,15MHz+4x20MHz,As specified in Table 8.13.2.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,"8, ≥11"
Note 1:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.6,,,
