CA Capability,CA Capability Description
CA2_C,Intra-band contiguous CA
CA2_A2,Inter-band CA (two bands)
CA2_N2,Intra-band non-contiguous CA (with two sub-blocks)
NOTE 1:CA2_C corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-1 for 2 DL CCs. CA2_A2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-2 for 2 DL CCs. CA2_N2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-3 for 2 DL CCs.,
