Band-width,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config,Reference value,
,,,,,Fraction of maximum throughput (%),SNR (dB)
5MHz,R.74-1 FDD,OP.1 FDD,EPA5,4x4 Low,70,14.1
10MHz,R.74 FDD,OP.1 FDD,EPA5,4x4 Low,70,14.9
15MHz,R.74-2 FDD,OP.1 FDD,EPA5,4x4 Low,70,14.3
20MHz,R.74-3 FDD,OP.1 FDD,EPA5,4x4 Low,70,14.4
