Test num.,Band-width,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE cate-gory
,,,,,,Fraction of maximum throughput (%),SNR (dB),
1,2x10 MHz,R.2 FDD,OP.1 FDD (NOTE 1),EVA5,1x2 Low,70,-1.1,≥3(NOTE 2)
2,2x20 MHz,R.42 FDD,OP.1 FDD (NOTE 1),EVA5,1x2 Low,70,-1.3,≥5
3,2x5 MHz,R.42-2 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.0,≥2
,,,OP.1 FDD,,,70,-1.0,
4,10MHz+5MHz,R.2 FDD for 10MHz CC,OP.1 FDD,EVA5,1x2 Low,70,-1.7,≥3
,,R.42-2 FDD for 5MHz CC,OP.1 FDD,,,70,-1.0,
5,15MHz+5MHz,R.42-3 FDD for 15MHz CC,OP.1 FDD,EVA5,1x2 Low,70,-1.6,≥3
,,R.42-2 FDD for 5MHz CC,OP.1 FDD,,,70,-1.0,
NOTE 1:The OCNG pattern applies for each CC.NOTE 2:30usec timing difference between two CCs is applied in inter-band CA case.NOTE 3: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3.,,,,,,,,
