Tests / clause,Applicable if UE supports the following capability
14.214.314.414.8 Test 1,"UE supporting V2X sidelinkIf the SL-C-RX Category 4 UE passes 14.11 Test 1 or 2, then the test coverage can be considered fulfilled without executing 14.8 Test 1."
14.5,UE with support of slss-TxRx-r14 [7]
14.614.9,UE supporting concurrent operation band for V2X and E-UTRA
14.7,UE not supporting concurrent operation band for V2X and E-UTRA
14.8 Test 2,"UE with support of v2x-HighReception-r14 [7].If the SL-C-RX Category 4 UE passes 14.11 Test 3 or 4, then the test coverage can be considered fulfilled without executing 14.8 Test 2."
14.10 Test 114.11 Test 1,UE with support of CA with 2 SL CCs and without support of CA with 3 SL CCs
14.10 Test 214.11 Test 2,UE with support of CA with 3 SL CCs
14.11 Test 3,UE with support of v2x-EnhancedHighReception-r15 [7] and CA with 2 SL CCs and without support of CA with 3 SL CCs
14.11 Test 4,UE with support of v2x-EnhancedHighReception-r15 [7] and CA with 3 SL CCs
