Parameter,,Unit,Test 1
Downlink power allocation,,dB,-6
,,dB,-6 (Note 1)
,,dB,3
at antenna port,,dBm/15kHz,-98
Precoding granularity,,PRB,6
PMI delay (Note 2),,ms,8
Reporting interval,,ms,1
Reporting mode,,,PUSCH 1-2
CodeBookSubsetRestriction bitmap,,,0000000000000000000000000000000011111111111111110000000000000000
PDSCH transmission mode,,,4
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:Void.Note 4:Void.Note 5:Void.",,,
