Test num,Bandwidth and MCS,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE category
,,,,,,Fraction of maximumThroughput (%),SNR (dB),
1,10 MHz16QAM 0.5,R.sTTI.1 FDD,OP.1 FDD,EVA30,4x2 Low,70,13.6,≥2
2,10 MHz16QAM 0.45,R.sTTI.2 FDD,OP.1 FDD,EVA30,4x2 Low,70,11.6,≥2
