Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions (Note1),,Correlation Matrix and Antenna Configuration (Note 2),Reference Value,,UE Category
,,TP 1,TP 2,TP 1,TP 2,,Fraction of Maximum Throughput (%),SNR (dB) (Note 3),
1,R.54 TDD,N/A,OP.1TDD,EPA5,ETU5,2x2 Low,70,14.7,≥2
Note 1:The propagation conditions for TP 1 and TP 2 are statistically independent.Note 2:Correlation matrix and antenna configuration parameters apply for each of TP 1 and TP 2.Note 3: SNR corresponds to  of TP 2 as defined in clause 8.1.1.,,,,,,,,,
