Test number,Cell,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE Category
,,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,PCell,10 MHz,NA,OP.3 FDD,AWGN,1x2 Low,NA,NA,≥1
,SCell,10MHz,R.29-1 FDD,OP.3A FDD,ETU70,1x2 Low,30,[2.9],≥1
"Note 1:If Test 1 in Table 8.2.1.1.4A-2 is tested, the test coverage can be considered fulfilled without executing Test 1 in Table 8.2.1.1.4-2.",,,,,,,,,
