Band-width,Reference channel,OCNG pattern,Propa-gation condition,Correlation matrix and antenna config.,Reference value,
,,,,,Fraction of maximum throughput (%),SNR (dB)
5 MHz,R.87-2 FDD,OP. 1 FDD,HST-SFN,2x2 Low,70,[13.9]
10 MHz,R.87 FDD,OP. 1 FDD,HST-SFN,2x2 Low,70,[13.3]
15 MHz,R.87-3 FDD,OP. 1 FDD,HST-SFN,2x2 Low,70,[13.9]
20 MHz,R.87-4 FDD,OP. 1 FDD,HST-SFN,2x2 Low,70,[14.1]
