MIMO layer,Bandwidth,FDD Reference channel,TDD Reference channel
2 layer,5,R.68-3 FDD,N/A
,10,R.68-2 FDD,R.68-2 TDD
,15,R.68-1 FDD,R.68-1 TDD
,20,R.68 FDD,R.68 TDD
4 layer,5,R.68-7 FDD,N/A
,10,R.68-4 FDD,R.68-5 TDD
,15,R.68-5 FDD,R.68-6 TDD
,20,R.68-6 FDD,R.68-7 TDD
