FDD/TDD,Tests / clause,Applicable if UE indicates at least the following capability
FDD,11.2.1,ProSe Direct Discovery without support of disc-SLSS-r12
,11.2.3,ProSe Direct Discovery with support of discPeriodicSLSS-r13 and ProSe Direct Communication
,11.3.1,ProSe Direct Discovery
,11.4.1,ProSe Direct Discovery with support of disc-SLSS-r12
,11.5.1,ProSe Direct Discovery
TDD,11.2.2,ProSe Direct Discovery
,11.3.2,ProSe Direct Discovery
,11.5.2,ProSe Direct Discovery
