"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_0000,0  RSTD < 2,Tc
DIFFRSTD_0001,2  RSTD < 4,Tc
DIFFRSTD_0002,4  RSTD < 6,Tc
,,…
DIFFRSTD_4093,8186  RSTD < 8188,Tc
DIFFRSTD_4094,8188  RSTD < 8190,Tc
DIFFRSTD_4095,8190  RSTD,Tc
