Parameter,Value
Number of CSI-RS beams in resourcesForSetA-r19,32
Number of beams in resourcesForChannelMeasurement when resourcesForChannelMeasurement are CSI-RS beams,8
Relationship between resourcesForChannelMeasurement and resourcesForSetA-r19 beams when resourcesForChannelMeasurement are CSI-RS beams,"The resourcesForChannelMeasuremen are selected from resourcesForSetA-r19 such that each resource in resourcesForChannelMeasuremen corresponds to one distinct resource of resourcesForSetA-r19, and the selected resources are interlaced and approximately uniformly distributed across the resourcesForSetA-r19 beam grid."
Beamwidth assumption when resourcesForChannelMeasurement are CSI-RS beams,Equal beamwidth for all beams in resourcesForSetA-r19
Number of beams in resourcesForChannelMeasurement when resourcesForChannelMeasurement are SSB beams,8
Relationship between resourcesForChannelMeasurement and resourcesForSetA-r19 beams when resourcesForChannelMeasurement are SSB beams,"All resources in resourcesForSetA-r19 are partitioned into eight groups of four resources, where all resources within each group are QCLed to one unique resource in resourcesForChannelMeasuremen"
Beamwidth assumption when resourcesForChannelMeasurement are SSB beams,Equal beamwidth for all beams in resourcesForChannelMeasuremen.Equal beamwidth for all beams in resourcesForSetA-r19
Ês/Iot,[ >= -3 dB]
Number of beams in resourcesForChannelMeasurement whose Es/Iot need to exceed threshold,2
Minimum Io,TBD
Maximum Io,TBD
Note 1: TXRU weights mapping for BS and UE is up to company.,
