"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_00000,0  RSTD < 0.5,Tc
DIFFRSTD_00001,0.5  RSTD < 1,Tc
DIFFRSTD_00002,1  RSTD < 1.5,Tc
,,…
DIFFRSTD_16380,8190  RSTD < 8190.5,Tc
DIFFRSTD_16381,8190.5  RSTD < 8191,Tc
DIFFRSTD_16382,8191  RSTD,Tc
