Reported Quantity Value,"Measured Quantity Value,",Unit
SL_RSTD_i,SL_RSTD,
SL_RSTD_000000,SL_RSTD < -985024,Tc
SL_RSTD_000001,-985024  SL_RSTD < -985016,Tc
SL_RSTD_000002,-985016  SL_RSTD < -985008,Tc
,,…
SL_RSTD_123128,-8  SL_RSTD < 0,Tc
SL_RSTD_123129,0  SL_RSTD < 8,Tc
…,…,…
SL_RSTD_246255,985008  SL_RSTD < 985016,Tc
SL_RSTD_246256,985016  SL_RSTD < 985024,Tc
SL_RSTD_246257,985024  SL_RSTD,Tc
