Accuracy,,Conditions,,,,,
Normal condition,Extreme condition,SSB Ês/Iot,Io Note 1 range,,,,
,,"Note 2,4",NR operating band groups Note 5,Minimum Io,,,Maximum Io
dB,dB,dB,,dBm / SCSSSB,,dBm/BWChannel,dBm/BWChannel
,,,,SCSSSB = 120 kHz,SCSSSB = 240 kHz,,
4.5,5,-3,NR_FDD_SAB_FR1_A,-121,-118,N/A,-50
5,5,-6,Note 3,Note 3,Note 3,Note 3,Note 3
NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:The parameter SSB Ês/Iot is the minimum SSB Ês/Iot of the pair of cells to which the requirement applies.NOTE 3:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding highest accuracy requirement.NOTE 4:The requirements apply for SSB Ês/Iot  [25] dB.NOTE 5:NR operating band groups in FR1 are as defined in clause 3.5.2A.,,,,,,,
