Reported value,Measured quantity value
TDCP_PH_0,0 ≤ TDCP_PH < 2π16
TDCP_PH_1,≤ TDCP_PH < 2π162π*216
TDCP_PH_2,≤ TDCP_PH < 2π*216 2π*316
TDCP_PH_3,≤ TDCP_PH < 2π*316 2π*416
TDCP_PH_4,≤ TDCP_PH < 2π*416 2π*516
TDCP_PH_5,≤ TDCP_PH < 2π*5162π*616
TDCP_PH_6,≤ TDCP_PH < 2π*616 2π*716
TDCP_PH_7,≤ TDCP_PH < 2π*716 2π*816
TDCP_PH_8,≤ TDCP_PH < 2π*816 2π*916
TDCP_PH_9,≤ TDCP_PH < 2π*9162π*1016
TDCP_PH_10,≤ TDCP_PH < 2π*1016 2π*1116
TDCP_PH_11,≤ TDCP_PH < 2π*11162π*1216
TDCP_PH_12,≤ TDCP_PH < 2π*1216 2π*1316
TDCP_PH_13,≤ TDCP_PH < 2π*1316 2π*1416
TDCP_PH_14,≤ TDCP_PH < 2π*1416 2π*1516
TDCP_PH_15,≤ TDCP_PH ≤ 2π*1516 2π
