"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_00000,0  RSTD < 0.25,Tc
DIFFRSTD_00001,0.25  RSTD < 0.5,Tc
DIFFRSTD_00002,0.5  RSTD < 0. 75,Tc
,,…
DIFFRSTD_32762,8190.5  RSTD < 8190.75,Tc
DIFFRSTD_32763,8190.75  RSTD < 8191,Tc
DIFFRSTD_32764,8191  RSTD,Tc
