Reported value,Measured quantity value
TDCP_0,< TDCP ≤11- 11282
TDCP_1,< TDCP ≤ 1-1128 1- 11282
TDCP_2,< TDCP ≤ 1-1642 1- 1128
TDCP_3,< TDCP ≤ 1-164 1- 1642
TDCP_4,< TDCP ≤ 1-1322 1- 164
TDCP_5,< TDCP ≤ 1-132 1- 1322
TDCP_6,< TDCP ≤ 1-1162 1- 132
TDCP_7,< TDCP ≤ 1-116 1- 1162
TDCP_8,< TDCP ≤ 1-182 1- 116
TDCP_9,< TDCP ≤ 1-181- 182
TDCP_10,< TDCP ≤ 1-142 1- 18
TDCP_11,< TDCP ≤ 1-14 1- 142
TDCP_12,< TDCP ≤ 1-122 1- 14
TDCP_13,< TDCP ≤ 1-12 1- 122
TDCP_14,< TDCP ≤ 1-12 1- 12
TDCP_15,0 ≤ TDCP ≤ 1- 12
