"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_000,0  RSTD < 32,Tc
DIFFRSTD_001,32  RSTD < 64,Tc
DIFFRSTD_002,64  RSTD < 96,Tc
,,…
DIFFRSTD_253,8096  RSTD < 8128,Tc
DIFFRSTD_254,8128  RSTD < 8160,Tc
DIFFRSTD_255,8160  RSTD,Tc
