Reported Quantity Value,Measured Quantity Value,Unit
SL_RX-TX_TIME_DIFFERENCE_0000,TSL Rx-Tx < -985024,Tc
SL_RX-TX_TIME_DIFFERENCE_0001,-985024 £ TSL Rx-Tx < -985008,Tc
SL_RX-TX_TIME_DIFFERENCE_0002,-985008 £ TSL Rx-Tx < -984992,Tc
¼,¼,…
SL_RX-TX_TIME_DIFFERENCE_61564,-16 £ TSL Rx-Tx < 0,Tc
SL_RX-TX_TIME_DIFFERENCE_61565,0 £ TSL Rx-Tx < 16,Tc
…,…,…
SL_RX-TX_TIME_DIFFERENCE_123127,984992 £ TSL Rx-Tx < 985008,Tc
SL_RX-TX_TIME_DIFFERENCE_123128,985008 £ TSL Rx-Tx < 985024,Tc
SL_RX-TX_TIME_DIFFERENCE_123129,985024 £ TSL Rx-Tx,Tc
