Accuracy,,Conditions,,,,,
Normal condition,Extreme condition,"SSB CMRÊs/Iot Note 2, Note 4",NZP-IMRÊs/Iot Note 4,Io Note 1 range,,,
,,,,Minimum Io,,,Maximum Io
dB,dB,dB,dB,dBm / SCSSSB Note 3,,dBm/BWChannel,dBm/BWChannel
,,,,SCSSSB = 120 kHz,SCSSSB = 240 kHz,,
±3.0,±4.0,≥0,≥0,"Same value as SSB_RP in clause B.2.8.2, according to UE Power class, operating band and angle of arrival",,N/A,-50
"NOTE 1:Io specified at the Reference point, and assumed to have constant EPRE across the bandwidth.NOTE 2:The parameter SSB CMR Ês/Iot is the minimum SSB CMR Ês/Iot of the pair of SSBs to which the requirement applies.NOTE 3:Values based on REFSENS and EIS spherical coverage as defined in clauses 7.3.2 and 7.3.4 of TS 38.101-2 [19]. Applicable side condition selected depending on angle of arrival.NOTE 4:In the test cases, the SSB CMR Ês/Iot, NZP-IMR Ês/Iot and related parameters may need to be adjusted to ensure Ês/Iot at UE baseband is above the value defined in this table.",,,,,,,
