"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_0000,0  RSTD < 8,Tc
DIFFRSTD_0001,8  RSTD < 16,Tc
DIFFRSTD_0002,16  RSTD < 24,Tc
,,…
DIFFRSTD_1021,8168  RSTD < 8176,Tc
DIFFRSTD_1022,8176  RSTD < 8184,Tc
DIFFRSTD_1023,8184  RSTD,Tc
