Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_0000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_0000001,-985024  TUE Rx-Tx < -985023.75,Tc
RX-TX_TIME_DIFFERENCE_0000002,-985023.75  TUE Rx-Tx < -985023.5,Tc
,,…
RX-TX_TIME_DIFFERENCE_3940096,-0.25  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_3940097,0  TUE Rx-Tx < 0.25,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_7880191,985023.5  TUE Rx-Tx < 985023.75,Tc
RX-TX_TIME_DIFFERENCE_7880192,985023.75  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_7880193,985024  TUE Rx-Tx,Tc
