Accuracy,Conditions,,,,,,
,PRS Ês/Iot,PRS SCS,PRS bandwidthNote 1,PRS resource repetition ()Note 2TrepPRS*LPRS/KcombPRS,Io Note 3 range,,
,,,,,NR operating band groups Note 4,Minimum Io,Maximum Io
Tc Note 5,dB,kHz,PRB,,,dBm/SCS,dBm/BWChannel
137 +Δ,(PRS Ês/Iot)j ≥-6dB (PRS Ês/Iot)i ≥-13dB,15,≥ 24,≥ 4,Note 6,Note 6,Note 6
79 +Δ,,,≥ 52,≥ 1,Note 6,Note 6,Note 6
45 +Δ,,,104,≥ 1,Note 6,Note 6,Note 6
81 +Δ,,30,≥ 24,≥ 4,Note 6,Note 6,Note 6
46 +Δ,,,48,≥ 1,Note 6,Note 6,Note 6
52 +Δ,,60,24,≥ 4,Note 6,Note 6,Note 6
"NOTE 1:Minimum PRS bandwidth, which is minimum of the PRS bandwidths of resource j and resource i.NOTE 2: Minimum number of PRS resource repetitions among resource j and resource i.  are configured by higher layer parameter dl-PRS-ResourceRepetitionFactor, dl-PRS-NumSymbols, and dl-PRS-CombSizeN defined in TS 37.355 [34], respectively.NOTE 3:Io is assumed to have constant EPRE across the bandwidth.NOTE 4:NR operating band groups in FR1 are as defined in clause 3.5.2.NOTE 5:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 6:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS as defined in table 10.1A.18.2.2-1.NOTE 7:Δ is the value of the timing error margin for the RxTx TEG, reported via nr-UE-RxTxTEG-TimingErrorMargin. Δ cannot be larger than the sum of the margins in table 10.1A.18.2.2-3 (dependent on PRS/SRS BW) for any pair of individual UE Rx-Tx time difference measurements associated with the RxTx TEG.TrepPRS, LPRS ,KcombPRS",,,,,,,
