Reported Quantity Value,"Measured Quantity Value,",Unit
RSTD_i,RSTD,
RSTD_000000,RSTD < -985024,Tc
RSTD_000001,-985024  RSTD < -985016,Tc
RSTD_000002,-985016  RSTD < -985008,Tc
,,…
RSTD_123128,-8  RSTD < 0,Tc
RSTD_123129,0  RSTD < 8,Tc
…,…,…
RSTD_246255,985008  RSTD < 985016,Tc
RSTD_246256,985016  RSTD < 985024,Tc
RSTD_246257,985024  RSTD,Tc
