PRS BW (PRB number),,,Margin (Tc)
SCS=15kHz,SCS=30kHz,SCS=60kHz,
≥ 104,N/A,N/A,32
N/A,≥ 132,≥ 64,16
N/A,N/A,≥ 132,8
