"Reported Quantity Value,","Measured Quantity Value,",Unit
RSTD_i,RSTD,
RSTD_00000,RSTD < -985024,Tc
RSTD_00001,-985024  RSTD < -984992,Tc
RSTD_00002,-984992  RSTD < -984960,Tc
,,…
RSTD_30782,-32  RSTD < 0,Tc
RSTD_30783,0  RSTD < 32,Tc
…,…,…
RSTD_61563,984960  RSTD < 984992,Tc
RSTD_61564,984992  RSTD < 985024,Tc
RSTD_61565,985024  RSTD,Tc
