"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_000,0  RSTD < 16,Tc
DIFFRSTD_001,16  RSTD < 32,Tc
DIFFRSTD_002,32  RSTD < 48,Tc
,,…
DIFFRSTD_509,8144  RSTD < 8160,Tc
DIFFRSTD_510,8160  RSTD < 8176,Tc
DIFFRSTD_511,8176  RSTD,Tc
