Reported value,Measured quantity value,Unit
CJTC_P_00,0 ≤ CJTC-P < 2π MΦ-1,rad
CJTC_P _01,≤ CJTC-P < 2π MΦ-12*2π MΦ-1,rad
CJTC_P _02,≤ CJTC-P < 2*2π  MΦ-13*2π MΦ-1,rad
…,…,…
CJTC_P _ MF -2,≤ CJTC-P ≤ (MΦ-2 )*2πMΦ-12π,rad
CJTC_P _ MF -1,‘Invalid’,N/A
