Accuracy,,Conditions,,,,,
Normal condition,Extreme condition,SSB Ês/Iot,Io Note 1 range,,,,
,,Note 3,NR operating band groups Note 4,Minimum Io,,,Maximum Io
dB,dB,dB,,dBm / SCSSSB,,dBm/BWChannel,dBm/BWChannel
,,,,SCSSSB = 15 kHz,SCSSSB = 30 kHz,,
4.0,4,-3,NR_FDD_SAB_FR1_A,-121,-118,N/A,-50
4.5,4,-6,Note 2,Note 2,Note 2,Note 2,Note 2
NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding highest accuracy requirement.NOTE 3:The requirements apply for SSB Ês/Iot  25 dB under non-HST scenarios.NOTE 4:NR operating band groups in FR1 are as defined in clause 3.5.2A.NOTE 5:The requirements apply for SSB Ês/Iot 5 dB with SCS 15kHz or 30kHz under NR high speed scenarios.,,,,,,,
