Accuracy,Conditions,
,Ês/Iot Note 2,Frequency range
Ts Note 1,dB,
40*64*Tc,-3,Between FR1 and FR2
NOTE 1:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 2:The parameter Ês/Iot is the minimum Ês/Iot of the pair of cells to which the requirement applies.,,
