"Reported Quantity Value,","Measured Quantity Value,",Unit
SL_RSTD_i,SL_RSTD,
SL_RSTD_000000,SL_RSTD < -985024,Tc
SL_RSTD_000001,-985024  SL_RSTD < -985020,Tc
SL_RSTD_000002,-985020  SL_RSTD < -985016,Tc
,,…
SL_RSTD_246256,-4  SL_RSTD < 0,Tc
SL_RSTD_246257,0  SL_RSTD < 4,Tc
…,…,…
SL_RSTD_492511,985016  SL_RSTD < 985020,Tc
SL_RSTD_492512,985020  SL_RSTD < 985024,Tc
SL_RSTD_492513,985024  SL_RSTD,Tc
