Reported Quantity Value,Measured Quantity Value,Unit
DIFF_RX-TX_TIME_DIFFERENCE_000000,0  TUE Rx-Tx < 0.0312,Tc
DIFF_RX-TX_TIME_DIFFERENCE_000001,0.0312  TUE Rx-Tx < 0.0625,Tc
DIFF_RX-TX_TIME_DIFFERENCE_000002,0.0625  TUE Rx-Tx < 0.0938,Tc
,,…
DIFF_RX-TX_TIME_DIFFERENCE_262110,8190.9375  TUE Rx-Tx < 8190.9688,Tc
DIFF_RX-TX_TIME_DIFFERENCE_262111,8190.9688  TUE Rx-Tx < 8191,Tc
DIFF_RX-TX_TIME_DIFFERENCE_262112,8191  TUE Rx-Tx,Tc
