"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_0000,0  RSTD < 1,Tc
DIFFRSTD_0001,1  RSTD < 2,Tc
DIFFRSTD_0002,2  RSTD < 3,Tc
,,…
DIFFRSTD_8189,8189  RSTD < 8190,Tc
DIFFRSTD_8190,8190  RSTD < 8191,Tc
DIFFRSTD_8191,8191  RSTD,Tc
