"Reported Quantity Value,","Measured Quantity Value,",Unit
RSTD_i,RSTD,
RSTD_0000000,RSTD < -985024,Tc
RSTD_0000001,-985024  RSTD < -985023.75,Tc
RSTD_0000002,-985023.75  RSTD < -985023.5,Tc
,,…
RSTD_3940096,-0.25  RSTD < 0,Tc
RSTD_3940097,0  RSTD < 0.25,Tc
…,…,…
RSTD_7880191,985023.5  RSTD < 985023.75,Tc
RSTD_7880192,985023.75  RSTD < 985024,Tc
RSTD_7880193,985024  RSTD,Tc
