"Reported Quantity Value,path_i","Measured Quantity Value,path",Unit
path_0000,path < -8174,Tc
path_0001,-8174  path < -8170,Tc
path_0002,-8170  path < -8166,Tc
,,…
path_2044,-2  path < 2,Tc
…,…,…
path_4086,8166  path < 8170,Tc
path_4087,8170  path < 8174,Tc
path_4088,8174  path,Tc
