Reported value,Measured quantity value (A-AoA),Unit
A-AoA_0,-180 ≤ A-AoA < -179.9,Degree
A-AoA_1,-179.9 ≤ A-AoA < -179.8,Degree
A-AoA_2,-179.8 ≤ A-AoA < -179.7,Degree
…,…,…
A-AoA_1798,-0.2 ≤ A-AoA < -0.1,Degree
A-AoA_1799,-0.1 ≤ A-AoA < 0,Degree
A-AoA_1800,0 ≤ A-AoA < 0.1,Degree
A-AoA_1801,0.1 ≤ A-AoA < 0.2,Degree
A-AoA_1802,0.2 ≤ A-AoA < 0.3,Degree
…,…,…
A-AoA_3598,179.8 ≤ A-AoA < 179.9,Degree
A-AoA_3599,179.9 ≤ A-AoA < 180,Degree
